epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2789.3,2.12246,2.65998,2.64286,0.40279,0.15,0.17657,0.0622,4.21831,6.11186,4.88085,0.0015644,0.0015644,0.0015644
112,2813.93,2.1904,2.52238,2.69064,0.70765,0.15,0.18599,0.08049,4.16913,5.78705,4.61677,0.00156044,0.00156044,0.00156044
113,2838.64,2.25863,2.70587,2.65957,0.75452,0.2,0.29479,0.13779,3.9272,4.83354,4.3332,0.00155648,0.00155648,0.00155648
114,2863.51,2.59639,2.7645,2.80107,0.42703,0.4,0.35775,0.17652,3.6653,4.3122,4.13312,0.00155252,0.00155252,0.00155252
115,2888.17,1.92839,2.93518,2.40272,0.51848,0.4,0.40554,0.20481,3.69056,4.09272,4.07382,0.00154856,0.00154856,0.00154856
116,2912.84,1.98926,2.39684,2.52842,0.56958,0.4,0.40188,0.20163,3.9433,4.47023,4.42975,0.0015446,0.0015446,0.0015446
117,2937.72,2.3415,2.72042,3.03355,0.69877,0.34815,0.3814,0.18188,4.13217,4.85913,4.61039,0.00154064,0.00154064,0.00154064
118,2962.47,2.01709,2.20783,2.5463,0.68209,0.25,0.31148,0.13917,4.35587,5.0017,4.81772,0.00153668,0.00153668,0.00153668
119,2987.58,2.23144,2.87409,2.74658,0.95971,0.25,0.28969,0.13701,4.37788,5.81878,4.91393,0.00153272,0.00153272,0.00153272
120,3012.47,2.09665,2.53432,2.5478,0.72539,0.25,0.2556,0.11545,4.36734,6.09061,5.01593,0.00152876,0.00152876,0.00152876
121,3037.46,2.1933,2.37144,2.63519,0.51238,0.2,0.15178,0.06587,4.14958,6.37972,4.91125,0.0015248,0.0015248,0.0015248
122,3062.36,1.85795,2.18028,2.4049,0.21348,0.3,0.15573,0.06154,4.11596,5.99963,4.82196,0.00152084,0.00152084,0.00152084
123,3086.92,2.30927,2.75886,2.82781,0.29716,0.25,0.19031,0.07802,3.92448,5.45099,4.5903,0.00151688,0.00151688,0.00151688
124,3111.58,2.26351,2.2648,2.81899,0.71699,0.3,0.35359,0.17389,3.53882,4.7307,4.26858,0.00151292,0.00151292,0.00151292
125,3136.03,2.05488,2.93443,2.56919,0.85315,0.35,0.45273,0.20961,3.63521,4.32648,4.29437,0.00150896,0.00150896,0.00150896
126,3160.83,2.17818,2.47812,2.76169,0.97681,0.35,0.49885,0.20992,3.88387,4.13435,4.66214,0.001505,0.001505,0.001505
127,3186.23,2.13007,2.34633,2.51422,0.67015,0.4,0.48415,0.16854,4.04726,4.11536,4.65932,0.00150104,0.00150104,0.00150104
128,3210.9,2.08798,2.27243,2.57544,0.73876,0.35,0.43161,0.15991,4.38926,4.57053,4.86308,0.00149708,0.00149708,0.00149708
129,3235.32,2.16666,2.23163,2.54624,0.3386,0.3,0.26652,0.10527,4.6753,5.26299,5.05168,0.00149312,0.00149312,0.00149312
130,3259.49,1.83356,2.24801,2.43458,0.31826,0.3,0.26294,0.09867,4.88428,5.53419,4.94287,0.00148916,0.00148916,0.00148916
131,3283.6,2.22798,2.34098,2.58555,0.42437,0.3,0.34212,0.10926,4.63805,5.03606,4.83821,0.0014852,0.0014852,0.0014852
132,3307.6,1.98853,2.16411,2.51932,0.61766,0.45,0.40517,0.11574,4.47806,4.87786,4.65357,0.00148124,0.00148124,0.00148124
133,3331.43,2.00225,2.31585,2.49781,0.7267,0.35,0.42903,0.15581,4.43858,4.57777,4.70082,0.00147728,0.00147728,0.00147728
134,3355.4,2.11309,2.43211,2.75762,0.62404,0.33306,0.39236,0.15734,4.19582,4.79726,4.44671,0.00147332,0.00147332,0.00147332
135,3379.35,2.0471,2.48581,2.58469,0.94509,0.25,0.34021,0.15634,4.24471,4.8585,4.50282,0.00146936,0.00146936,0.00146936
136,3403.7,2.13776,2.46323,2.52405,0.30215,0.3,0.27593,0.13823,4.55257,4.74555,4.86458,0.0014654,0.0014654,0.0014654
137,3427.51,2.08356,2.49172,2.4759,0.49498,0.25,0.27617,0.13811,4.42593,4.99761,4.93074,0.00146144,0.00146144,0.00146144
138,3451.36,1.78543,2.09765,2.42306,0.54107,0.3,0.28866,0.13652,4.25407,5.23659,4.63008,0.00145748,0.00145748,0.00145748
139,3475.08,1.91491,2.15457,2.51932,0.51368,0.25,0.26438,0.13725,4.04839,5.26245,4.29432,0.00145352,0.00145352,0.00145352
140,3498.97,1.99807,2.32633,2.53062,0.60359,0.3,0.34585,0.19012,3.80438,4.73342,3.98083,0.00144956,0.00144956,0.00144956
141,3522.58,1.63111,1.89266,2.32302,0.77292,0.4,0.48349,0.25806,3.86147,4.19185,4.20605,0.0014456,0.0014456,0.0014456
142,3546.43,2.02801,2.04666,2.50658,0.92951,0.4,0.49551,0.21662,4.36385,4.07018,4.5675,0.00144164,0.00144164,0.00144164
143,3570.15,2.20833,2.62238,2.86271,0.5946,0.45,0.38486,0.16753,4.0163,4.67943,4.37752,0.00143768,0.00143768,0.00143768
144,3593.8,2.2228,2.64648,2.64441,0.28101,0.4,0.23556,0.11424,3.88895,4.81486,4.1154,0.00143372,0.00143372,0.00143372
145,3617.54,1.98173,2.31005,2.55932,0.2375,0.4,0.20374,0.10597,3.94578,4.86325,4.16602,0.00142976,0.00142976,0.00142976
146,3641.27,1.93838,2.16836,2.44466,0.26314,0.48242,0.23729,0.11461,4.28934,4.45068,4.36043,0.0014258,0.0014258,0.0014258
147,3665.03,2.06389,2.55629,2.60416,0.62454,0.55,0.50869,0.25273,4.43604,3.48012,4.5152,0.00142184,0.00142184,0.00142184
148,3688.81,2.59109,2.4828,3.22904,0.57784,0.65,0.5434,0.24261,4.13615,3.2255,4.36529,0.00141788,0.00141788,0.00141788
149,3712.58,1.90315,2.30245,2.59235,0.58531,0.55,0.61029,0.30175,3.95235,2.96054,4.25608,0.00141392,0.00141392,0.00141392
150,3736.97,2.12411,2.15742,2.51008,0.58523,0.7,0.63006,0.34731,3.65286,3.05445,3.98212,0.00140996,0.00140996,0.00140996
151,3761.22,1.95327,2.23635,2.61884,0.54208,0.7,0.60951,0.31675,3.66437,3.26382,3.84396,0.001406,0.001406,0.001406
152,3785.38,2.14173,2.3429,2.62372,0.69886,0.5809,0.69466,0.31251,3.72578,3.04521,3.93402,0.00140204,0.00140204,0.00140204
153,3809.44,1.6382,1.72958,2.30119,0.65542,0.57133,0.67977,0.33565,3.58403,2.94737,3.82949,0.00139808,0.00139808,0.00139808
154,3833.59,1.69245,1.9692,2.33226,0.60577,0.6,0.61365,0.30426,3.43991,3.26535,3.73894,0.00139412,0.00139412,0.00139412
155,3857.71,1.78849,2.14096,2.41263,0.48926,0.5753,0.54486,0.22953,3.66263,3.8756,3.86489,0.00139016,0.00139016,0.00139016
156,3881.74,1.80673,2.42466,2.59907,0.45821,0.55,0.41421,0.16873,3.84781,4.44141,3.92518,0.0013862,0.0013862,0.0013862
157,3905.84,1.86176,2.21176,2.57814,0.66091,0.25,0.32919,0.17518,3.90603,4.68897,3.90405,0.00138224,0.00138224,0.00138224
158,3929.87,1.84711,1.84613,2.36835,0.3147,0.35,0.24548,0.12924,4.09508,4.75355,4.21084,0.00137828,0.00137828,0.00137828
159,3954.04,2.33232,2.39639,2.56545,0.39367,0.3,0.27212,0.15149,4.14713,4.74971,4.26644,0.00137432,0.00137432,0.00137432
160,3977.86,1.70834,2.58898,2.54412,0.64267,0.3,0.37474,0.17206,4.0752,4.91126,4.33088,0.00137036,0.00137036,0.00137036
161,4001.62,1.896,2.07361,2.37126,0.65918,0.4,0.37907,0.19282,3.91205,4.52212,4.32942,0.0013664,0.0013664,0.0013664
162,4025.54,2.00674,2.35313,2.80937,0.41185,0.4,0.3509,0.19728,3.83147,4.76648,4.33903,0.00136244,0.00136244,0.00136244
163,4049.32,1.75936,1.97215,2.33682,0.61688,0.35,0.3441,0.20164,3.80515,4.81361,4.2182,0.00135848,0.00135848,0.00135848
164,4073.38,1.83169,1.70721,2.53115,0.57582,0.3,0.27233,0.14802,4.093,4.89147,4.33375,0.00135452,0.00135452,0.00135452
165,4097.15,2.09712,3.22688,2.9927,0.34577,0.2,0.20168,0.11452,4.32154,5.14238,4.63166,0.00135056,0.00135056,0.00135056
166,4121.33,1.78442,1.99931,2.427,0.32961,0.2,0.16665,0.06975,4.91002,5.67429,5.1428,0.0013466,0.0013466,0.0013466
167,4146.27,1.85034,2.30387,2.4277,0.32866,0.3,0.18079,0.06067,5.41146,5.56214,5.60155,0.00134264,0.00134264,0.00134264
168,4170.63,1.82611,1.98298,2.49201,0.33624,0.35,0.15903,0.05393,5.74715,5.48558,5.93027,0.00133868,0.00133868,0.00133868
169,4194.97,2.24103,2.53252,2.64163,0.40779,0.3,0.15325,0.05009,5.75759,5.47574,5.95928,0.00133472,0.00133472,0.00133472
170,4219.09,1.97649,2.08067,2.65355,0.5691,0.25,0.22549,0.07372,5.59817,5.45092,5.70948,0.00133076,0.00133076,0.00133076
171,4243.07,1.7452,1.72028,2.4378,0.34755,0.2,0.13285,0.03906,5.55318,5.53991,5.67365,0.0013268,0.0013268,0.0013268
172,4267.57,1.97845,2.10649,2.53867,0.4658,0.2,0.19188,0.04597,5.25937,6.07376,5.48858,0.00132284,0.00132284,0.00132284
173,4291.65,1.75909,1.88419,2.29666,0.21173,0.2,0.10885,0.04155,5.30936,5.64187,5.64184,0.00131888,0.00131888,0.00131888
174,4316.01,1.65123,2.29509,2.17169,0.37949,0.25,0.19796,0.07353,4.84934,5.34888,5.08895,0.00131492,0.00131492,0.00131492
175,4340.32,1.71484,1.85012,2.33106,0.6254,0.2,0.30804,0.11264,4.48417,5.06686,4.73808,0.00131096,0.00131096,0.00131096
176,4364.48,1.70393,2.10209,2.39265,0.39607,0.45,0.38978,0.12446,4.37471,4.80127,4.61907,0.001307,0.001307,0.001307
177,4389.72,1.86256,2.15338,2.42077,0.43956,0.43197,0.43206,0.13837,4.59505,4.74643,4.68367,0.00130304,0.00130304,0.00130304
178,4414.5,2.06093,2.7043,2.77938,0.4924,0.38859,0.28852,0.10373,4.39746,5.86789,4.46224,0.00129908,0.00129908,0.00129908
179,4438.82,1.83995,1.87048,2.36974,0.41735,0.25,0.27106,0.09621,4.63266,6.03684,4.67305,0.00129512,0.00129512,0.00129512
180,4463.08,1.90096,1.96444,2.3709,0.36904,0.2051,0.22745,0.08548,4.67513,6.28781,4.78674,0.00129116,0.00129116,0.00129116
181,4487.38,2.16915,2.40954,2.76424,0.37964,0.25,0.19705,0.0648,4.63758,6.47295,4.83062,0.0012872,0.0012872,0.0012872
182,4511.4,1.70192,1.68593,2.32181,0.53836,0.2,0.19854,0.08723,4.584,6.27795,4.70728,0.00128324,0.00128324,0.00128324
183,4535.33,1.91232,2.44455,2.6788,0.5016,0.25,0.21472,0.08473,4.61836,5.89041,4.82454,0.00127928,0.00127928,0.00127928
